,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
0,Charburger,3.3,260,470,22,43,8,23,habit_burger_grill
1,BBQ Bacon Charburger,4.6,305,630,31,58,20,27,habit_burger_grill
2,Teriyaki Charburger,3.6,300,510,22,52,16,23,habit_burger_grill
3,Mushroom Swiss Charburger,4.85,283,590,39,36,7,26,habit_burger_grill
4,Santa Barbara Style Charburger,5.95,490,840,67,15,5,47,habit_burger_grill
5,Dbl Charburger,4.3,320,640,33,43,8,39,habit_burger_grill
6,Albacore Sandwich,7.25,233,390,10,41,8,33,habit_burger_grill
7,Veggie Burger,4.95,310,470,12,63,12,28,habit_burger_grill
8,Chicken Club Sandwich,6.95,371,730,39,51,4,47,habit_burger_grill
