,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
0,Double-Double Burger,3.45,330,670,41,39,10,37,inout_burger
1,Cheeseburger,2.4,300,330,25,39,7,18,inout_burger
2,Hamburger,2.1,243,390,19,39,10,16,inout_burger
